opportunity_id,title,organization,category,domain,description,min_cgpa,max_cgpa,eligible_years,eligible_branches,eligible_degrees,age_min,age_max,nationality,gender_requirement,required_skills,preferred_skills,technical_skills,soft_skills,required_experience,certifications_required,projects_required,location,city,work_mode,start_date,end_date,deadline,duration,stipend,funding_amount,benefits,certificate,mentorship,placement_opportunity,career_impact,application_url,contact_email,last_verified,status
102,Natural Language Processing Opportunity 102,CommunitySampleOrg102,Government Skill Development Program,Natural Language Processing,Government Skill Development Program in Natural Language Processing for student development,7.0,NA,3|4,All Engineering,BTech|BE,18,NA,India,Any,Statistics|TensorFlow,Computer Vision|Networking,Statistics|TensorFlow,Communication|Teamwork|Problem Solving,None,NA,No,India,Delhi,Hybrid,2026-12-21,2027-05-02,2026-10-31,7 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,High,https://sample-opportunities.example/opportunity/102,contact102@sampleorg.example,2026-09-04,Open
103,FinTech Opportunity 103,CommunitySampleOrg103,Government Innovation Program,FinTech,Government Innovation Program in FinTech for student development,7.5,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,International,Any,Pandas|PyTorch,Cybersecurity|AWS,Pandas|PyTorch,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,Mumbai,Online,2026-12-22,2027-05-04,2026-10-31,8 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,Medium,https://sample-opportunities.example/opportunity/103,contact103@sampleorg.example,2026-09-04,Upcoming
104,Healthcare Technology Opportunity 104,CommunitySampleOrg104,Government Grant,Healthcare Technology,Government Grant in Healthcare Technology for student development,8.0,NA,1,All,UG,18,NA,Any,Any,NumPy|NLP,Linux|Azure,NumPy|NLP,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,No,International,Hyderabad,Remote,2026-12-23,2027-05-06,2026-11-01,9 Months,NA,NA,Certificate|Mentorship,Yes,Yes,No,Low,https://sample-opportunities.example/opportunity/104,contact104@sampleorg.example,2026-09-04,Closed
105,EdTech Opportunity 105,CommunitySampleOrg105,Public Sector Internship,EdTech,Public Sector Internship in EdTech for student development,NA,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,India,Any,TensorFlow|Computer Vision,Networking|Docker,TensorFlow|Computer Vision,Communication|Teamwork|Problem Solving,None,NA,Yes,India,NA,On-site,2026-12-24,2027-05-08,2026-11-01,10 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,Yes,High,https://sample-opportunities.example/opportunity/105,contact105@sampleorg.example,2026-09-04,Open
106,UI/UX Opportunity 106,CommunitySampleOrg106,Private Internship,UI/UX,Private Internship in UI/UX for student development,6.0,NA,3|4,All Engineering,BTech|BE,18,NA,International,Any,PyTorch|Cybersecurity,AWS|Kubernetes,PyTorch|Cybersecurity,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,No,Online,Bengaluru,Hybrid,2026-12-25,2027-05-10,2026-11-02,11 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,Yes,Medium,https://sample-opportunities.example/opportunity/106,contact106@sampleorg.example,2026-09-04,Upcoming
107,Research Opportunity 107,CommunitySampleOrg107,Technology Internship,Research,Technology Internship in Research for student development,7.0,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,Any,Any,NLP|Linux,Azure|Flutter,NLP|Linux,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,Yes,International,Delhi,Online,2026-12-26,2027-05-12,2026-11-02,12 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,Yes,Low,https://sample-opportunities.example/opportunity/107,contact107@sampleorg.example,2026-09-04,Closed
108,Entrepreneurship Opportunity 108,CommunitySampleOrg108,Research Internship,Entrepreneurship,Research Internship in Entrepreneurship for student development,7.5,NA,1,All,UG,18,NA,India,Any,Computer Vision|Networking,Docker|Kotlin,Computer Vision|Networking,Communication|Teamwork|Problem Solving,None,NA,No,India,Mumbai,Remote,2026-12-27,2027-05-14,2026-11-03,1 Months,NA,NA,Certificate|Mentorship,Yes,Yes,Yes,High,https://sample-opportunities.example/opportunity/108,contact108@sampleorg.example,2026-09-04,Open
109,Sustainability Opportunity 109,CommunitySampleOrg109,Scholarship,Sustainability,Scholarship in Sustainability for student development,8.0,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,International,Any,Cybersecurity|AWS,Kubernetes|Android,Cybersecurity|AWS,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,Hyderabad,On-site,2026-12-28,2027-05-16,2026-11-03,2 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,No,Medium,https://sample-opportunities.example/opportunity/109,contact109@sampleorg.example,2026-09-04,Upcoming
110,Competitive Programming Opportunity 110,CommunitySampleOrg110,Fellowship,Competitive Programming,Fellowship in Competitive Programming for student development,NA,NA,3|4,All Engineering,BTech|BE,18,NA,Any,Any,Linux|Azure,Flutter|React,Linux|Azure,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,No,International,NA,Hybrid,2026-12-29,2027-05-18,2026-11-04,3 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,Low,https://sample-opportunities.example/opportunity/110,contact110@sampleorg.example,2026-09-04,Closed
111,Artificial Intelligence Opportunity 111,CommunitySampleOrg111,Hackathon,Artificial Intelligence,Hackathon in Artificial Intelligence for student development,6.0,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,India,Any,Networking|Docker,Kotlin|Node.js,Networking|Docker,Communication|Teamwork|Problem Solving,None,NA,Yes,India,Bengaluru,Online,2026-12-30,2027-05-20,2026-11-04,4 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,High,https://sample-opportunities.example/opportunity/111,contact111@sampleorg.example,2026-09-04,Open
112,Machine Learning Opportunity 112,CommunitySampleOrg112,Competition,Machine Learning,Competition in Machine Learning for student development,7.0,NA,1,All,UG,18,NA,International,Any,AWS|Kubernetes,Android|MongoDB,AWS|Kubernetes,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,No,Online,Delhi,Remote,2026-12-31,2027-05-22,2026-11-05,5 Months,NA,NA,Certificate|Mentorship,Yes,Yes,No,Medium,https://sample-opportunities.example/opportunity/112,contact112@sampleorg.example,2026-09-04,Upcoming
113,Data Science Opportunity 113,CommunitySampleOrg113,Grant,Data Science,Grant in Data Science for student development,7.5,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,Any,Any,Azure|Flutter,React|Figma,Azure|Flutter,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,Yes,International,Mumbai,On-site,2027-01-01,2027-05-24,2026-11-05,6 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,No,Low,https://sample-opportunities.example/opportunity/113,contact113@sampleorg.example,2026-09-04,Closed
114,Web Development Opportunity 114,CommunitySampleOrg114,Exchange Program,Web Development,Exchange Program in Web Development for student development,8.0,NA,3|4,All Engineering,BTech|BE,18,NA,India,Any,Docker|Kotlin,Node.js|IoT,Docker|Kotlin,Communication|Teamwork|Problem Solving,None,NA,No,India,Hyderabad,Hybrid,2027-01-02,2027-05-26,2026-11-06,7 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,High,https://sample-opportunities.example/opportunity/114,contact114@sampleorg.example,2026-09-04,Open
115,Mobile Development Opportunity 115,CommunitySampleOrg115,Certification,Mobile Development,Certification in Mobile Development for student development,NA,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,International,Any,Kubernetes|Android,MongoDB|Arduino,Kubernetes|Android,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,NA,Online,2027-01-03,2027-05-28,2026-11-06,8 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,Medium,https://sample-opportunities.example/opportunity/115,contact115@sampleorg.example,2026-09-04,Upcoming
116,Software Engineering Opportunity 116,CommunitySampleOrg116,Apprenticeship,Software Engineering,Apprenticeship in Software Engineering for student development,6.0,NA,1,All,UG,18,NA,Any,Any,Flutter|React,Figma|Blockchain,Flutter|React,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,No,International,Bengaluru,Remote,2027-01-04,2027-05-30,2026-11-07,9 Months,NA,NA,Certificate|Mentorship,Yes,Yes,Yes,Low,https://sample-opportunities.example/opportunity/116,contact116@sampleorg.example,2026-09-04,Closed
117,Cybersecurity Opportunity 117,CommunitySampleOrg117,Training Program,Cybersecurity,Training Program in Cybersecurity for student development,7.0,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,India,Any,Kotlin|Node.js,IoT|Solidity,Kotlin|Node.js,Communication|Teamwork|Problem Solving,None,NA,Yes,India,Delhi,On-site,2027-01-05,2027-06-01,2026-11-07,10 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,No,High,https://sample-opportunities.example/opportunity/117,contact117@sampleorg.example,2026-09-04,Open
118,Cloud Computing Opportunity 118,CommunitySampleOrg118,Entrepreneurship Program,Cloud Computing,Entrepreneurship Program in Cloud Computing for student development,7.5,NA,3|4,All Engineering,BTech|BE,18,NA,International,Any,Android|MongoDB,Arduino|Research,Android|MongoDB,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,No,Online,Mumbai,Hybrid,2027-01-06,2027-06-03,2026-11-08,11 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,Medium,https://sample-opportunities.example/opportunity/118,contact118@sampleorg.example,2026-09-04,Upcoming
119,DevOps Opportunity 119,CommunitySampleOrg119,Workshop,DevOps,Workshop in DevOps for student development,8.0,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,Any,Any,React|Figma,Blockchain|Data Analysis,React|Figma,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,Yes,International,Hyderabad,Online,2027-01-07,2027-06-05,2026-11-08,12 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,Low,https://sample-opportunities.example/opportunity/119,contact119@sampleorg.example,2026-09-04,Closed
120,Blockchain Opportunity 120,CommunitySampleOrg120,Open Source Program,Blockchain,Open Source Program in Blockchain for student development,NA,NA,1,All,UG,18,NA,India,Any,Node.js|IoT,Solidity|Python,Node.js|IoT,Communication|Teamwork|Problem Solving,None,NA,No,India,NA,Remote,2027-01-08,2027-02-07,2026-11-09,1 Months,NA,NA,Certificate|Mentorship,Yes,Yes,No,High,https://sample-opportunities.example/opportunity/120,contact120@sampleorg.example,2026-09-04,Open
121,Robotics Opportunity 121,CommunitySampleOrg121,Government Internship,Robotics,Government Internship in Robotics for student development,6.0,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,International,Any,MongoDB|Arduino,Research|C,MongoDB|Arduino,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,Bengaluru,On-site,2027-01-09,2027-02-09,2026-11-09,2 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,Yes,Medium,https://sample-opportunities.example/opportunity/121,contact121@sampleorg.example,2026-09-04,Upcoming
122,Internet of Things Opportunity 122,CommunitySampleOrg122,Government Scholarship,Internet of Things,Government Scholarship in Internet of Things for student development,7.0,NA,3|4,All Engineering,BTech|BE,18,NA,Any,Any,Figma|Blockchain,Data Analysis|C++,Figma|Blockchain,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,No,International,Delhi,Hybrid,2027-01-10,2027-02-11,2026-11-10,3 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,Low,https://sample-opportunities.example/opportunity/122,contact122@sampleorg.example,2026-09-04,Closed
123,Computer Vision Opportunity 123,CommunitySampleOrg123,Government Fellowship,Computer Vision,Government Fellowship in Computer Vision for student development,7.5,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,India,Any,IoT|Solidity,Python|Java,IoT|Solidity,Communication|Teamwork|Problem Solving,None,NA,Yes,India,Mumbai,Online,2027-01-11,2027-02-13,2026-11-10,4 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,High,https://sample-opportunities.example/opportunity/123,contact123@sampleorg.example,2026-09-04,Open
124,Natural Language Processing Opportunity 124,CommunitySampleOrg124,Government Program,Natural Language Processing,Government Program in Natural Language Processing for student development,8.0,NA,1,All,UG,18,NA,International,Any,Arduino|Research,C|JavaScript,Arduino|Research,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,No,Online,Hyderabad,Remote,2027-01-12,2027-02-15,2026-11-11,5 Months,NA,NA,Certificate|Mentorship,Yes,Yes,No,Medium,https://sample-opportunities.example/opportunity/124,contact124@sampleorg.example,2026-09-04,Upcoming
125,FinTech Opportunity 125,CommunitySampleOrg125,Government Research Program,FinTech,Government Research Program in FinTech for student development,NA,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,Any,Any,Blockchain|Data Analysis,C++|HTML,Blockchain|Data Analysis,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,Yes,International,NA,On-site,2027-01-13,2027-02-17,2026-11-11,6 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,No,Low,https://sample-opportunities.example/opportunity/125,contact125@sampleorg.example,2026-09-04,Closed
126,Healthcare Technology Opportunity 126,CommunitySampleOrg126,Government Skill Development Program,Healthcare Technology,Government Skill Development Program in Healthcare Technology for student development,6.0,NA,3|4,All Engineering,BTech|BE,18,NA,India,Any,Solidity|Python,Java|CSS,Solidity|Python,Communication|Teamwork|Problem Solving,None,NA,No,India,Bengaluru,Hybrid,2027-01-14,2027-02-19,2026-11-12,7 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,High,https://sample-opportunities.example/opportunity/126,contact126@sampleorg.example,2026-09-04,Open
127,EdTech Opportunity 127,CommunitySampleOrg127,Government Innovation Program,EdTech,Government Innovation Program in EdTech for student development,7.0,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,International,Any,Research|C,JavaScript|SQL,Research|C,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,Delhi,Online,2027-01-15,2027-02-21,2026-11-12,8 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,Medium,https://sample-opportunities.example/opportunity/127,contact127@sampleorg.example,2026-09-04,Upcoming
128,UI/UX Opportunity 128,CommunitySampleOrg128,Government Grant,UI/UX,Government Grant in UI/UX for student development,7.5,NA,1,All,UG,18,NA,Any,Any,Data Analysis|C++,HTML|Git,Data Analysis|C++,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,No,International,Mumbai,Remote,2027-01-16,2027-02-23,2026-11-13,9 Months,NA,NA,Certificate|Mentorship,Yes,Yes,No,Low,https://sample-opportunities.example/opportunity/128,contact128@sampleorg.example,2026-09-04,Closed
129,Research Opportunity 129,CommunitySampleOrg129,Public Sector Internship,Research,Public Sector Internship in Research for student development,8.0,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,India,Any,Python|Java,CSS|GitHub,Python|Java,Communication|Teamwork|Problem Solving,None,NA,Yes,India,Hyderabad,On-site,2027-01-17,2027-02-25,2026-11-13,10 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,Yes,High,https://sample-opportunities.example/opportunity/129,contact129@sampleorg.example,2026-09-04,Open
130,Entrepreneurship Opportunity 130,CommunitySampleOrg130,Private Internship,Entrepreneurship,Private Internship in Entrepreneurship for student development,NA,NA,3|4,All Engineering,BTech|BE,18,NA,International,Any,C|JavaScript,SQL|DSA,C|JavaScript,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,No,Online,NA,Hybrid,2027-01-18,2027-02-27,2026-11-14,11 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,Yes,Medium,https://sample-opportunities.example/opportunity/130,contact130@sampleorg.example,2026-09-04,Upcoming
131,Sustainability Opportunity 131,CommunitySampleOrg131,Technology Internship,Sustainability,Technology Internship in Sustainability for student development,6.0,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,Any,Any,C++|HTML,Git|Algorithms,C++|HTML,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,Yes,International,Bengaluru,Online,2027-01-19,2027-03-01,2026-11-14,12 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,Yes,Low,https://sample-opportunities.example/opportunity/131,contact131@sampleorg.example,2026-09-04,Closed
132,Competitive Programming Opportunity 132,CommunitySampleOrg132,Research Internship,Competitive Programming,Research Internship in Competitive Programming for student development,7.0,NA,1,All,UG,18,NA,India,Any,Java|CSS,GitHub|Machine Learning,Java|CSS,Communication|Teamwork|Problem Solving,None,NA,No,India,Delhi,Remote,2027-01-20,2027-03-03,2026-11-15,1 Months,NA,NA,Certificate|Mentorship,Yes,Yes,Yes,High,https://sample-opportunities.example/opportunity/132,contact132@sampleorg.example,2026-09-04,Open
133,Artificial Intelligence Opportunity 133,CommunitySampleOrg133,Scholarship,Artificial Intelligence,Scholarship in Artificial Intelligence for student development,7.5,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,International,Any,JavaScript|SQL,DSA|Deep Learning,JavaScript|SQL,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,Mumbai,On-site,2027-01-21,2027-03-05,2026-11-15,2 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,No,Medium,https://sample-opportunities.example/opportunity/133,contact133@sampleorg.example,2026-09-04,Upcoming
134,Machine Learning Opportunity 134,CommunitySampleOrg134,Fellowship,Machine Learning,Fellowship in Machine Learning for student development,8.0,NA,3|4,All Engineering,BTech|BE,18,NA,Any,Any,HTML|Git,Algorithms|Artificial Intelligence,HTML|Git,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,No,International,Hyderabad,Hybrid,2027-01-22,2027-03-07,2026-11-16,3 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,Low,https://sample-opportunities.example/opportunity/134,contact134@sampleorg.example,2026-09-04,Closed
135,Data Science Opportunity 135,CommunitySampleOrg135,Hackathon,Data Science,Hackathon in Data Science for student development,NA,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,India,Any,CSS|GitHub,Machine Learning|Data Science,CSS|GitHub,Communication|Teamwork|Problem Solving,None,NA,Yes,India,NA,Online,2027-01-23,2027-03-09,2026-11-16,4 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,High,https://sample-opportunities.example/opportunity/135,contact135@sampleorg.example,2026-09-04,Open
136,Web Development Opportunity 136,CommunitySampleOrg136,Competition,Web Development,Competition in Web Development for student development,6.0,NA,1,All,UG,18,NA,International,Any,SQL|DSA,Deep Learning|Statistics,SQL|DSA,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,No,Online,Bengaluru,Remote,2027-01-24,2027-03-11,2026-11-17,5 Months,NA,NA,Certificate|Mentorship,Yes,Yes,No,Medium,https://sample-opportunities.example/opportunity/136,contact136@sampleorg.example,2026-09-04,Upcoming
137,Mobile Development Opportunity 137,CommunitySampleOrg137,Grant,Mobile Development,Grant in Mobile Development for student development,7.0,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,Any,Any,Git|Algorithms,Artificial Intelligence|Pandas,Git|Algorithms,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,Yes,International,Delhi,On-site,2027-01-25,2027-03-13,2026-11-17,6 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,No,Low,https://sample-opportunities.example/opportunity/137,contact137@sampleorg.example,2026-09-04,Closed
138,Software Engineering Opportunity 138,CommunitySampleOrg138,Exchange Program,Software Engineering,Exchange Program in Software Engineering for student development,7.5,NA,3|4,All Engineering,BTech|BE,18,NA,India,Any,GitHub|Machine Learning,Data Science|NumPy,GitHub|Machine Learning,Communication|Teamwork|Problem Solving,None,NA,No,India,Mumbai,Hybrid,2027-01-26,2027-03-15,2026-11-18,7 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,High,https://sample-opportunities.example/opportunity/138,contact138@sampleorg.example,2026-09-04,Open
139,Cybersecurity Opportunity 139,CommunitySampleOrg139,Certification,Cybersecurity,Certification in Cybersecurity for student development,8.0,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,International,Any,DSA|Deep Learning,Statistics|TensorFlow,DSA|Deep Learning,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,Hyderabad,Online,2027-01-27,2027-03-17,2026-11-18,8 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,Medium,https://sample-opportunities.example/opportunity/139,contact139@sampleorg.example,2026-09-04,Upcoming
140,Cloud Computing Opportunity 140,CommunitySampleOrg140,Apprenticeship,Cloud Computing,Apprenticeship in Cloud Computing for student development,NA,NA,1,All,UG,18,NA,Any,Any,Algorithms|Artificial Intelligence,Pandas|PyTorch,Algorithms|Artificial Intelligence,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,No,International,NA,Remote,2027-01-28,2027-03-19,2026-11-19,9 Months,NA,NA,Certificate|Mentorship,Yes,Yes,Yes,Low,https://sample-opportunities.example/opportunity/140,contact140@sampleorg.example,2026-09-04,Closed
141,DevOps Opportunity 141,CommunitySampleOrg141,Training Program,DevOps,Training Program in DevOps for student development,6.0,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,India,Any,Machine Learning|Data Science,NumPy|NLP,Machine Learning|Data Science,Communication|Teamwork|Problem Solving,None,NA,Yes,India,Bengaluru,On-site,2027-01-29,2027-03-21,2026-11-19,10 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,No,High,https://sample-opportunities.example/opportunity/141,contact141@sampleorg.example,2026-09-04,Open
142,Blockchain Opportunity 142,CommunitySampleOrg142,Entrepreneurship Program,Blockchain,Entrepreneurship Program in Blockchain for student development,7.0,NA,3|4,All Engineering,BTech|BE,18,NA,International,Any,Deep Learning|Statistics,TensorFlow|Computer Vision,Deep Learning|Statistics,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,No,Online,Delhi,Hybrid,2027-01-30,2027-03-23,2026-11-20,11 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,Medium,https://sample-opportunities.example/opportunity/142,contact142@sampleorg.example,2026-09-04,Upcoming
143,Robotics Opportunity 143,CommunitySampleOrg143,Workshop,Robotics,Workshop in Robotics for student development,7.5,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,Any,Any,Artificial Intelligence|Pandas,PyTorch|Cybersecurity,Artificial Intelligence|Pandas,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,Yes,International,Mumbai,Online,2027-01-31,2027-03-25,2026-11-20,12 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,Low,https://sample-opportunities.example/opportunity/143,contact143@sampleorg.example,2026-09-04,Closed
144,Internet of Things Opportunity 144,CommunitySampleOrg144,Open Source Program,Internet of Things,Open Source Program in Internet of Things for student development,8.0,NA,1,All,UG,18,NA,India,Any,Data Science|NumPy,NLP|Linux,Data Science|NumPy,Communication|Teamwork|Problem Solving,None,NA,No,India,Hyderabad,Remote,2027-02-01,2027-03-27,2026-11-21,1 Months,NA,NA,Certificate|Mentorship,Yes,Yes,No,High,https://sample-opportunities.example/opportunity/144,contact144@sampleorg.example,2026-09-04,Open
145,Computer Vision Opportunity 145,CommunitySampleOrg145,Government Internship,Computer Vision,Government Internship in Computer Vision for student development,NA,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,International,Any,Statistics|TensorFlow,Computer Vision|Networking,Statistics|TensorFlow,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,NA,On-site,2027-02-02,2027-03-29,2026-11-21,2 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,Yes,Medium,https://sample-opportunities.example/opportunity/145,contact145@sampleorg.example,2026-09-04,Upcoming
146,Natural Language Processing Opportunity 146,CommunitySampleOrg146,Government Scholarship,Natural Language Processing,Government Scholarship in Natural Language Processing for student development,6.0,NA,3|4,All Engineering,BTech|BE,18,NA,Any,Any,Pandas|PyTorch,Cybersecurity|AWS,Pandas|PyTorch,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,No,International,Bengaluru,Hybrid,2027-02-03,2027-03-31,2026-11-22,3 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,Low,https://sample-opportunities.example/opportunity/146,contact146@sampleorg.example,2026-09-04,Closed
147,FinTech Opportunity 147,CommunitySampleOrg147,Government Fellowship,FinTech,Government Fellowship in FinTech for student development,7.0,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,India,Any,NumPy|NLP,Linux|Azure,NumPy|NLP,Communication|Teamwork|Problem Solving,None,NA,Yes,India,Delhi,Online,2027-02-04,2027-04-02,2026-11-22,4 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,High,https://sample-opportunities.example/opportunity/147,contact147@sampleorg.example,2026-09-04,Open
148,Healthcare Technology Opportunity 148,CommunitySampleOrg148,Government Program,Healthcare Technology,Government Program in Healthcare Technology for student development,7.5,NA,1,All,UG,18,NA,International,Any,TensorFlow|Computer Vision,Networking|Docker,TensorFlow|Computer Vision,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,No,Online,Mumbai,Remote,2027-02-05,2027-04-04,2026-11-23,5 Months,NA,NA,Certificate|Mentorship,Yes,Yes,No,Medium,https://sample-opportunities.example/opportunity/148,contact148@sampleorg.example,2026-09-04,Upcoming
149,EdTech Opportunity 149,CommunitySampleOrg149,Government Research Program,EdTech,Government Research Program in EdTech for student development,8.0,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,Any,Any,PyTorch|Cybersecurity,AWS|Kubernetes,PyTorch|Cybersecurity,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,Yes,International,Hyderabad,On-site,2027-02-06,2027-04-06,2026-11-23,6 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,No,Low,https://sample-opportunities.example/opportunity/149,contact149@sampleorg.example,2026-09-04,Closed
150,UI/UX Opportunity 150,CommunitySampleOrg150,Government Skill Development Program,UI/UX,Government Skill Development Program in UI/UX for student development,NA,NA,3|4,All Engineering,BTech|BE,18,NA,India,Any,NLP|Linux,Azure|Flutter,NLP|Linux,Communication|Teamwork|Problem Solving,None,NA,No,India,NA,Hybrid,2027-02-07,2027-04-08,2026-11-24,7 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,High,https://sample-opportunities.example/opportunity/150,contact150@sampleorg.example,2026-09-04,Open
151,Research Opportunity 151,CommunitySampleOrg151,Government Innovation Program,Research,Government Innovation Program in Research for student development,6.0,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,International,Any,Computer Vision|Networking,Docker|Kotlin,Computer Vision|Networking,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,Bengaluru,Online,2027-02-08,2027-04-10,2026-11-24,8 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,Medium,https://sample-opportunities.example/opportunity/151,contact151@sampleorg.example,2026-09-04,Upcoming
